repository,date,release_count,is_working_day
stackflow,2025-05-29,2,true
stackflow,2025-05-15,2,true
stackflow,2025-05-12,1,true
stackflow,2025-04-09,2,true
stackflow,2025-03-27,2,true
stackflow,2025-03-14,2,true
stackflow,2025-02-24,1,true
stackflow,2025-02-14,3,true
stackflow,2025-01-22,5,true
stackflow,2024-12-18,4,true
stackflow,2024-11-19,1,true
stackflow,2024-11-08,1,true
stackflow,2024-10-23,1,true
stackflow,2024-09-26,5,true
stackflow,2024-09-11,1,true
stackflow,2024-09-03,10,true
stackflow,2024-08-21,1,true
stackflow,2024-08-14,15,true
stackflow,2024-08-08,5,true
stackflow,2024-08-02,2,true
stackflow,2024-07-31,12,true
stackflow,2024-07-25,14,true
stackflow,2024-07-24,1,true
stackflow,2024-07-23,1,true
stackflow,2024-07-22,14,true
stackflow,2024-07-09,2,true
stackflow,2024-05-28,1,true
stackflow,2024-05-24,1,true
stackflow,2024-05-22,2,true
stackflow,2024-02-13,10,true
stackflow,2024-01-30,13,true
stackflow,2024-01-22,2,true
stackflow,2024-01-20,1,false
stackflow,2024-01-16,2,true
stackflow,2023-12-23,1,false
stackflow,2023-12-22,15,true
stackflow,2023-12-01,1,true
seed-design,2025-06-02,10,true
seed-design,2025-05-30,22,true
seed-design,2025-05-29,31,true
seed-design,2025-05-21,4,true
seed-design,2025-05-19,9,true
seed-design,2025-05-08,9,true
seed-design,2025-05-02,8,true
seed-design,2025-04-28,31,true
seed-design,2025-04-23,10,true
seed-design,2025-04-22,20,true
seed-design,2025-04-18,9,true
seed-design,2025-04-16,9,true
seed-design,2025-04-07,1,true
seed-design,2025-03-24,1,true
seed-design,2025-03-18,8,true
seed-design,2025-03-14,1,true
seed-design,2025-03-13,15,true
seed-design,2025-03-10,7,true
seed-design,2025-03-05,6,true
seed-design,2025-03-04,8,true
seed-design,2025-02-25,6,true
seed-design,2025-02-24,25,true
seed-design,2025-02-20,8,true
seed-design,2025-02-18,17,true
seed-design,2024-01-29,1,true
seed-design,2023-07-31,1,true
seed-design,2023-07-17,1,true
seed-design,2023-07-05,1,true
seed-design,2023-05-23,1,true
seed-design,2023-04-25,1,true
seed-design,2023-04-19,2,true
seed-design,2023-04-14,1,true
seed-design,2023-03-11,1,false
seed-design,2023-03-10,2,false
seed-design,2023-03-09,1,true
seed-design,2023-02-23,1,true
seed-design,2023-02-21,1,true
seed-design,2023-02-20,3,true
seed-design,2023-02-17,2,true
seed-design,2023-02-14,1,true
seed-design,2023-02-13,2,true
seed-design,2023-02-09,5,true
seed-design,2023-02-08,1,true
seed-design,2023-01-18,2,true
seed-design,2022-12-09,2,true
seed-design,2022-12-08,3,true
seed-design,2022-11-29,2,true
seed-design,2022-11-25,4,true
seed-design,2022-11-24,4,true
seed-design,2022-11-18,2,true
seed-design,2022-10-07,1,true
seed-design,2022-03-10,1,true
seed-design,2021-10-15,4,true
